Altitude,Distance,Time,Fuel
15000,91.9,40.23333333,5.6
14000,85.2,37.56666667,5.2
12500,74.6,33.6,4.6
11500,67.5,30.81666667,4.2
11000,63.9,29.4,4
10000,57.2,26.76666667,3.6
9000,50.5,24.15,3.2
8000,43.8,21.48333333,2.8
7000,37.1,18.65,2.5
6000,31,16.1,2.1
5000,24.7,13.46666667,1.8
4000,18.5,10.73333333,1.4
3000,12.4,8.1,1.1
2000,6.6,5.483333333,0.8
1000,1,2.883333333,0.4
0,0,0,0
